metadata_type,test_text,expected_id,rank_1_id,rank_1_distance,rank_2_id,rank_2_distance,rank_3_id,rank_3_distance
code,view a form, 1,6,0.6153,5,0.6306,11,0.6382
llm-llama2,view a form, 1,1,0.5541,2,0.5639,11,0.6025
natural-code,view a form, 1,4,0.4791,5,0.4871,7,0.5036
code,get a temp folder, 3,54,0.5304,44,0.5867,3,0.6051
llm-llama2,get a temp folder, 3,3,0.5158,54,0.5636,52,0.5793
natural-code,get a temp folder, 3,54,0.5323,44,0.5774,3,0.6018
code,move backword in web browser, 4,7,0.587,23,0.59,4,0.5934
llm-llama2,move backword in web browser, 4,4,0.4277,7,0.5249,5,0.576
natural-code,move backword in web browser, 4,7,0.5577,4,0.604,30,0.6332
code,move forward in web browser, 5,5,0.5655,7,0.5715,4,0.6538
llm-llama2,move forward in web browser, 5,5,0.4003,7,0.4579,4,0.4805
natural-code,move forward in web browser, 5,7,0.5163,5,0.5474,4,0.6693
code,convert a file to text and download, 8,49,0.5589,47,0.5648,48,0.5737
llm-llama2,convert a file to text and download, 8,8,0.4858,49,0.5758,48,0.6187
natural-code,convert a file to text and download, 8,8,0.5851,49,0.6128,48,0.6356
code,print something, 10,10,0.6626,6,0.663,25,0.8139
llm-llama2,print something, 10,6,0.4498,10,0.5035,18,0.6631
natural-code,print something, 10,10,0.5428,6,0.5716,47,0.8864
code,get clicked language, 14,14,0.4185,15,0.4981,1,0.6926
llm-llama2,get clicked language, 14,14,0.4154,15,0.6001,26,0.7106
natural-code,get clicked language, 14,14,0.5147,15,0.5971,1,0.7236
code,remove attachemts from test, 37,37,0.4107,44,0.4601,34,0.4614
llm-llama2,remove attachemts from test, 37,34,0.4136,39,0.4859,37,0.488
natural-code,remove attachemts from test, 37,37,0.4171,44,0.4592,39,0.4794
code,write a character to line, 19,19,0.4819,20,0.5676,21,0.6824
llm-llama2,write a character to line, 19,20,0.5555,19,0.5787,18,0.5853
natural-code,write a character to line, 19,19,0.5463,20,0.5822,21,0.7183
code,convert html code, 22,26,0.5189,24,0.5278,27,0.5408
llm-llama2,convert html code, 22,21,0.4248,22,0.4669,46,0.5411
natural-code,convert html code, 22,22,0.4288,29,0.5194,27,0.5198
code,remove stuff inside tags, 24,22,0.5146,24,0.568,23,0.6134
llm-llama2,remove stuff inside tags, 24,24,0.6079,48,0.6481,47,0.6554
natural-code,remove stuff inside tags, 24,24,0.5732,22,0.5885,23,0.5988
